Name,Description,Section,Parent Task,Seção do Manual
1.1. Ownership de Receita Definido e Comunicado,"TAREFA MACRO
Definir formalmente que a área de Vendas é a proprietária do número de receita da empresa, estabelecendo com clareza sua responsabilidade sobre a captação (em parceria com Marketing), a conversão e a expansão da base (em parceria com o Pós-Venda Comercial). Essa definição deve ser documentada, comunicada a todos os envolvidos e incorporada à rotina de gestão, eliminando qualquer ambiguidade sobre quem responde pelo resultado comercial.

LÓGICA E IMPORTÂNCIA
Em empresas sem esse alinhamento, é comum ouvir situações como: ""A culpa é do marketing, os leads são ruins"" ou ""O time de vendas não aproveita o que geramos."" Cada área aponta para a outra, e no final do mês ninguém se sente dono do número. O resultado: faturamento abaixo do potencial, reuniões improdutivas e decisões tomadas sem um responsável claro. O ownership de receita resolve esse problema na raiz. Quando Vendas assume explicitamente a responsabilidade pelo resultado, ela para de ser apenas executora de pedidos e passa a coordenar ativamente as áreas que alimentam seu trabalho. Marketing entende que sua entrega é medida pela qualidade dos leads que chegam ao funil. O Pós-Venda Comercial entende que sua entrega é medida pela receita expandida e retida na base. Vendas, por sua vez, responde pelo número final, sem transferência de responsabilidade. Essa tarefa é o ponto de partida da Seção 1 porque todas as demais (definição de alavancas, North Star Metric, critérios de onde não atuar) dependem de ter um dono claro do número. Sem isso, qualquer métrica criada vira dado sem consequência.

REQUISITOS
- Organograma atualizado com as áreas de Marketing, Vendas e Pós-Venda Comercial identificadas. - Liderança comercial definida (gestor ou responsável formal pela área de Vendas). - Apoio da direção ou do sócio responsável pela área comercial para validar e comunicar a decisão.

VALIDAÇÃO
- O responsável pelo número de receita está formalmente definido e é a liderança de Vendas? - Marketing conhece sua responsabilidade dentro desse modelo e aceita ser medido pela qualidade dos leads entregues? - O Pós-Venda Comercial conhece sua responsabilidade de expansão e retenção dentro desse modelo? - O modelo de ownership está documentado por escrito? - A liderança de Vendas sabe em qual reunião e com qual frequência presta contas do número? - Toda a equipe comercial foi comunicada sobre esse modelo? - A direção validou e endossou formalmente essa definição?

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,,Seção 1: Posicionamento e Alavancas de Crescimento
"1.1.1 Reúna o responsável por Vendas, o responsável por Marketing e o responsável pelo Pós-Venda...","Reúna o responsável por Vendas, o responsável por Marketing e o responsável pelo Pós-Venda Comercial (ou quem exerce essas funções na empresa). O objetivo da reunião é único: alinhar quem responde pelo número de receita e como cada área contribui para ele. Registre os presentes e a data.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
1.1.2 Apresente e valide o modelo de responsabilidade: Vendas é a área proprietária do número de...,"Apresente e valide o modelo de responsabilidade: Vendas é a área proprietária do número de receita total. Marketing é responsável por gerar demanda qualificada e responde por volume e qualidade de leads entregues ao funil. O Pós-Venda Comercial responde pela expansão e retenção da base existente. Vendas coordena as duas pontas e responde pelo resultado consolidado.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
1.1.3 Documente esse modelo em um parágrafo formal.,"Documente esse modelo em um parágrafo formal. Esse texto será incorporado ao Playbook Comercial (tarefa 3.3) e ao material de onboarding de novos colaboradores (tarefa 6.4). O texto deve ser direto: quem é o dono do número, quais são os limites de responsabilidade de cada área e o que acontece quando há divergência entre elas.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
1.1.4 Defina como será feita a prestação de contas do número.,"Defina como será feita a prestação de contas do número. Estabeleça com que frequência o responsável por Vendas apresenta os resultados à diretoria (semanal, quinzenal ou mensal), em qual reunião isso ocorre e qual é o formato mínimo dessa apresentação (número realizado versus meta, principais desvios e ação corretiva).

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
1.1.5 Comunique a decisão para toda a equipe comercial.,"Comunique a decisão para toda a equipe comercial. A comunicação não precisa ser longa: deve deixar claro que Vendas responde pelo número, que Marketing e Pós-Venda Comercial são parceiros com responsabilidades definidas, e que essa estrutura não é negociável. Registre o meio de comunicação utilizado (reunião, e-mail, mensagem no canal da equipe).

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
"1.1.6 Inclua o modelo de ownership na próxima reunião de alinhamento comercial como pauta formal,...","Inclua o modelo de ownership na próxima reunião de alinhamento comercial como pauta formal, confirmando o entendimento de todos os envolvidos e documentando eventuais dúvidas ou ajustes necessários.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.1. Ownership de Receita Definido e Comunicado,Seção 1: Posicionamento e Alavancas de Crescimento
1.2. Clareza sobre as Alavancas de Crescimento,"TAREFA MACRO
Mapear, documentar e monitorar as cinco alavancas que determinam o crescimento de receita da empresa: volume de negócios, melhoria de conversão, elevação de ticket médio, expansão da base e retenção de clientes. O objetivo é garantir que a liderança comercial saiba, com base em dados, qual alavanca está sendo priorizada em cada momento e por quê, substituindo decisões intuitivas por escolhas deliberadas e mensuráveis.

LÓGICA E IMPORTÂNCIA
Uma situação recorrente em empresas sem esse mapeamento é a seguinte: a meta não foi batida, e a resposta imediata é ""precisamos prospectar mais."" O time de prospecção se sobrecarrega, o custo de aquisição sobe, e o problema continua. O que ninguém percebeu é que o funil já tinha leads suficientes. O gargalo estava na conversão, ou no ticket médio abaixo do potencial, ou em clientes saindo silenciosamente pela porta dos fundos. Cada alavanca tem um custo, um tempo de retorno e um nível de complexidade diferente. Aumentar o volume de negócios exige mais esforço de prospecção e, em geral, mais tempo. Melhorar a conversão exige ajuste de processo e capacitação do time, mas age diretamente no funil existente. Elevar ticket médio exige reposicionamento de valor ou criação de novas ofertas. Expandir a base depende de uma operação de pós-venda comercial estruturada. Reter clientes depende de entrega consistente e relacionamento ativo. Sem clareza sobre qual alavanca priorizar, a empresa empurra todas ao mesmo tempo e avança em nenhuma com velocidade suficiente. Essa tarefa é continuidade direta da 1.1: agora que Vendas tem o ownership do número, ela precisa saber como mover esse número. O resultado aqui alimenta a definição da North Star Metric (tarefa 1.3) e a construção dos dashboards comerciais (tarefa 7.5).

REQUISITOS
- Ownership de receita definido e comunicado (tarefa 1.1 concluída). - Acesso a dados históricos mínimos: faturamento dos últimos 6 a 12 meses, número de negócios fechados, ticket médio e taxa de cancelamento ou perda de clientes. - Liderança comercial disponível para conduzir a análise junto ao responsável financeiro ou ao gestor com acesso aos dados.

VALIDAÇÃO
- As cinco alavancas de crescimento estão mapeadas com indicadores definidos para cada uma? - Existe um valor atual documentado para cada alavanca, ainda que estimado? - A alavanca prioritária dos próximos 30 a 90 dias está definida e justificada por dados? - O time comercial foi comunicado sobre a prioridade atual e entende a lógica da escolha? - A tabela de alavancas está acessível à liderança comercial? - Existe uma cadência definida para revisão mensal das alavancas? - A liderança comercial consegue responder, sem consultar planilha, qual alavanca está sendo priorizada e por quê?

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,,Seção 1: Posicionamento e Alavancas de Crescimento
1.2.1 Reúna os dados históricos de receita dos últimos 6 a 12 meses e organize-os pelas as cinco...,"Reúna os dados históricos de receita dos últimos 6 a 12 meses e organize-os pelas as cinco dimensões: quantos negócios foram fechados por período (volume), qual foi a taxa de conversão de oportunidades em clientes (conversão), qual foi o ticket médio por venda (ticket), quanto da receita veio de expansão na base existente como upsell e cross-sell (expansão) e qual foi a taxa de retenção ou churn no mesmo período (retenção). Se algum dado não existir, registre a lacuna e estime com base no que está disponível.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
"1.2.2 Com os dados organizados, identifique qual das cinco alavancas tem o maior gap em relação ao...","Com os dados organizados, identifique qual das cinco alavancas tem o maior gap em relação ao potencial da empresa. O gap pode ser identificado por comparação interna (queda ou estagnação em relação a períodos anteriores), por comparação com referências de mercado quando disponíveis, ou pela percepção fundamentada da liderança sobre onde está a maior ineficiência do processo comercial atual.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
